Invoice Number,Invoice Date,Invoice Type,Sales Return Number,Shipment Number,Sales Order Number,Customer Code,Party Group,Site,Rounded Amount,Invoice Status
910037952,05-06-2024,Tax Invoice,,800041805,200038070,100000,B ZONE,Spices,513156,Approved
910037895,03-06-2024,Tax Invoice,,800041753,200038017,100007,B ZONE,Spices,1366836,Approved
910037980,06-06-2024,Tax Invoice,,800041845,200038106,100007,B ZONE,Spices,689002,Approved
920022024,04-06-2024,Tax Invoice,,802024559,210022535,100007,B ZONE,Pasta& Vermicelli,54744,Approved
920022055,06-06-2024,Tax Invoice,,802024617,210022592,100007,B ZONE,Pasta& Vermicelli,3380,Approved
949903605,03-06-2024,Tax Invoice,,813003760,407003722,100007,B ZONE,Tea,12115,Approved
949903621,06-06-2024,Tax Invoice,,813003774,407003736,100007,B ZONE,Tea,9831,Approved
965012727,06-06-2024,Bill of Supply,,86012934,330012941,100007,B ZONE,Spices,23878,Approved
910037989,06-06-2024,Tax Invoice,,800041854,200038115,100009,F ZONE,Spices,1332563,Approved
910037991,06-06-2024,Tax Invoice,,800041855,200038116,100009,F ZONE,Spices,1428654,Approved
910038008,07-06-2024,Tax Invoice,,800041862,200038125,100009,F ZONE,Spices,709355,Approved
920022062,07-06-2024,Tax Invoice,,802024626,210022600,100009,F ZONE,Pasta& Vermicelli,123815,Approved
949903623,07-06-2024,Tax Invoice,,813003777,407003739,100009,F ZONE,Tea,8937,Approved
910037907,03-06-2024,Tax Invoice,,800041755,200038022,100010,F ZONE,Spices,2075538,Approved
910037936,04-06-2024,Tax Invoice,,800041791,200038052,100010,F ZONE,Spices,372950,Approved
910038023,07-06-2024,Tax Invoice,,800041879,200038144,100010,F ZONE,Spices,1470289,Approved
910037900,03-06-2024,Tax Invoice,,800041744,200038006,100011,F ZONE,Spices,234593,Approved
910037937,04-06-2024,Tax Invoice,,800041784,200038041,100011,F ZONE,Spices,40167,Approved
920022001,03-06-2024,Tax Invoice,,802024553,210022530,100011,F ZONE,Pasta& Vermicelli,30056,Approved
949903606,03-06-2024,Tax Invoice,,813003757,407003719,100011,F ZONE,Tea,4464,Approved
910038018,07-06-2024,Tax Invoice,,800041874,200038139,100012,F ZONE,Spices,1170992,Approved
910037883,01-06-2024,Tax Invoice,,800041738,200037993,100024,A1 ZONE,Spices,421988,Approved
910037958,05-06-2024,Tax Invoice,,800041817,200038068,100024,A1 ZONE,Spices,151679,Approved
920022004,03-06-2024,Tax Invoice,,802024549,210022523,100024,A1 ZONE,Pasta& Vermicelli,12300,Approved
920022046,06-06-2024,Tax Invoice,,802024602,210022578,100024,A1 ZONE,Pasta& Vermicelli,28886,Approved
965012724,05-06-2024,Bill of Supply,,86012930,330012937,100024,A1 ZONE,Spices,3933,Approved
